student_id,gender,study_time_hours,attendance_percent,sleep_hours,parental_education,internet_access,extracurricular_activities,part_time_job,previous_grade,final_exam_score,final_grade,at_risk,academic_level,attendance_risk_level,sleep_deviation,deviation_bin,high_workload_low_sleep,engagement_score
33,Female,5.3,100.0,7.3,Masters,Yes,Yes,No,67.7,100.0,A,0,excellent,Healthy,0.20000000000000018,0.0,0,0.8771929824561404
34,Female,3.6,90.1,5.2,Bachelors,No,Yes,No,87.7,93.3,A,0,excellent,Healthy,2.3,2.0,0,0.7296227293898463
35,Female,6.6,90.4,8.1,Masters,Yes,Yes,Yes,69.7,100.0,A,0,excellent,Healthy,0.5999999999999996,1.0,0,0.8634140661387985
36,Male,6.1,95.7,8.2,,Yes,Yes,Yes,78.5,92.9,A,0,excellent,Healthy,0.6999999999999993,1.0,0,0.8805697873001087
37,Female,3.1,81.4,6.5,High School,Yes,No,Yes,87.7,83.2,B,0,excellent,Healthy,1.0,1.0,1,0.31020027945971124
38,Male,5.0,76.6,6.7,,Yes,Yes,No,67.7,81.1,B,0,excellent,Healthy,0.7999999999999998,1.0,0,0.6914687160378823
39,Male,4.5,74.6,5.0,High School,Yes,Yes,Yes,72.6,89.5,B,0,excellent,Moderate,2.5,2.0,1,0.6547896289396057
40,Male,5.6,65.3,7.4,Masters,Yes,Yes,No,85.5,91.6,A,0,excellent,Moderate,0.09999999999999964,0.0,0,0.6344511721782332
41,Male,2.1,100.0,7.5,High School,Yes,Yes,Yes,68.4,75.3,C,0,average,Healthy,0.0,0.0,0,0.7368421052631579
42,Male,4.5,74.0,6.7,High School,Yes,No,No,54.1,79.0,C,0,average,Moderate,0.7999999999999998,1.0,0,0.3170315168452104
43,Female,5.1,82.8,8.1,Bachelors,Yes,Yes,No,95.7,100.0,A,0,excellent,Healthy,0.5999999999999996,1.0,0,0.7415773948144698
44,Female,0.9,82.2,6.4,Bachelors,Yes,Yes,No,64.4,79.2,C,0,average,Healthy,1.0999999999999996,1.0,0,0.5529420897376184
45,Female,1.7,88.1,7.5,Bachelors,No,Yes,No,71.9,70.8,C,0,average,Healthy,0.0,0.0,0,0.6315401335196398
46,Female,0.5,93.2,5.6,High School,No,No,Yes,83.9,61.8,D,1,average,Healthy,1.9000000000000004,2.0,1,0.28318584070796465
47,Female,3.1,93.6,6.8,Bachelors,Yes,Yes,Yes,62.7,68.0,D,1,average,Healthy,0.7000000000000002,1.0,1,0.7335041142679707
48,Male,4.6,79.2,6.6,,Yes,Yes,Yes,57.9,80.3,B,0,excellent,Healthy,0.9000000000000004,1.0,1,0.6930988976866946
49,Female,5.8,83.3,7.1,Bachelors,No,Yes,No,73.0,88.6,B,0,excellent,Healthy,0.40000000000000036,0.0,0,0.7759664648346529
50,Female,3.6,87.8,6.4,High School,Yes,Yes,No,48.5,69.4,D,1,average,Healthy,1.0999999999999996,1.0,0,0.7126610774724421
51,Male,5.9,82.5,6.6,Bachelors,Yes,Yes,No,66.5,100.0,A,0,excellent,Healthy,0.9000000000000004,1.0,0,0.7744527247321845
52,Female,1.4,100.0,7.8,High School,No,No,No,72.9,81.8,B,0,excellent,Healthy,0.2999999999999998,0.0,0,0.37280701754385964
53,Male,0.9,89.9,6.3,Masters,Yes,No,No,66.8,72.6,C,0,average,Healthy,1.2000000000000002,1.0,0,0.27639341717124677
54,Female,3.4,92.3,4.9,Masters,Yes,No,No,51.5,85.3,B,0,excellent,Healthy,2.5999999999999996,3.0,0,0.40374165502251197
55,Male,4.1,91.6,8.9,Bachelors,No,Yes,No,89.1,99.8,A,0,excellent,Healthy,1.4000000000000004,1.0,0,0.7626145008539046
56,Female,3.5,96.7,8.5,Bachelors,Yes,Yes,Yes,71.2,84.3,B,0,excellent,Healthy,1.0,1.0,0,0.773909330849247
57,Female,0.5,86.8,5.2,Masters,Yes,Yes,No,87.2,71.5,C,0,average,Healthy,2.3,2.0,0,0.5693215339233039
58,Male,3.4,72.0,7.6,Bachelors,Yes,No,No,66.9,84.3,B,0,excellent,Moderate,0.09999999999999964,0.0,0,0.2540366402732495
59,Male,1.5,89.0,6.2,Masters,Yes,No,No,59.4,74.5,C,0,average,Healthy,1.2999999999999998,1.0,0,0.296072038503338
60,Male,4.5,78.5,7.1,Bachelors,Yes,No,No,73.2,89.5,B,0,excellent,Healthy,0.40000000000000036,0.0,0,0.350217357553175
61,Male,4.0,79.7,7.2,Masters,Yes,Yes,No,67.4,80.4,B,0,excellent,Healthy,0.2999999999999998,0.0,0,0.6704704238472288
62,Male,2.1,90.9,6.5,Bachelors,No,Yes,Yes,55.9,71.1,C,0,average,Healthy,1.0,1.0,1,0.6697329607203851
63,Male,2.7,97.4,5.9,Bachelors,Yes,Yes,No,87.6,87.8,B,0,excellent,Healthy,1.5999999999999996,2.0,0,0.743983853438907
64,Male,1.9,85.2,6.0,,Yes,No,No,62.5,73.0,C,0,average,Healthy,1.5,2.0,0,0.2855922993324018
65,Male,3.4,88.1,5.7,Bachelors,Yes,No,Yes,47.9,80.8,B,0,excellent,Healthy,1.7999999999999998,2.0,1,0.37276820369507835
66,Female,4.9,100.0,5.8,Bachelors,Yes,No,No,85.9,97.4,A,0,excellent,Healthy,1.7000000000000002,2.0,0,0.5263157894736842
67,Female,2.0,87.4,6.7,High School,Yes,Yes,No,63.9,67.8,D,1,average,Healthy,0.7999999999999998,1.0,0,0.6395357863685763
68,Male,4.3,100.0,5.9,Bachelors,No,Yes,No,62.7,79.2,C,0,average,Healthy,1.5999999999999996,2.0,0,0.8333333333333334
69,Female,2.7,90.7,7.6,Bachelors,No,No,Yes,48.8,73.5,C,0,average,Healthy,0.09999999999999964,0.0,0,0.3612404906070486
70,Female,2.3,67.4,8.6,High School,Yes,No,No,90.9,85.1,B,0,excellent,Moderate,1.0999999999999996,1.0,0,0.17186772240335357
71,Female,3.3,92.5,6.1,High School,Yes,Yes,No,54.5,79.6,C,0,average,Healthy,1.4000000000000004,1.0,0,0.7341639496972521
72,Female,1.9,88.8,7.1,Bachelors,Yes,Yes,No,70.7,77.4,C,0,average,Healthy,0.40000000000000036,0.0,0,0.6454743052321068
73,Male,2.7,97.9,7.4,Masters,Yes,Yes,No,81.0,94.6,A,0,excellent,Healthy,0.09999999999999964,0.0,0,0.7476711690731254
74,Female,1.7,91.7,7.4,Bachelors,Yes,Yes,No,75.1,77.6,C,0,average,Healthy,0.09999999999999964,0.0,0,0.6580888060860115
75,Male,6.4,83.6,6.9,High School,Yes,Yes,No,69.3,99.9,A,0,excellent,Healthy,0.5999999999999996,1.0,0,0.8044946436888681
76,Female,3.6,72.8,7.7,Masters,No,No,No,49.6,64.4,D,1,average,Moderate,0.20000000000000018,0.0,0,0.2687082751125602
77,Female,2.5,82.9,7.4,High School,Yes,Yes,No,60.3,71.9,C,0,average,Healthy,0.09999999999999964,0.0,0,0.6282797702220152
78,Female,3.8,76.5,5.3,Bachelors,Yes,Yes,No,72.3,79.3,C,0,average,Healthy,2.2,2.0,0,0.6380996739636703
79,Male,3.3,79.2,7.8,High School,Yes,Yes,Yes,60.6,74.9,C,0,average,Healthy,0.2999999999999998,0.0,0,0.6360813538270454
80,Female,3.2,90.9,7.9,High School,Yes,No,No,72.4,87.4,B,0,excellent,Healthy,0.40000000000000036,0.0,0,0.3846452414221395
81,Male,4.4,100.0,5.9,High School,Yes,No,No,78.2,97.6,A,0,excellent,Healthy,1.5999999999999996,2.0,0,0.5043859649122807
82,Female,4.6,88.9,6.8,Bachelors,Yes,Yes,No,81.6,74.5,C,0,average,Healthy,0.7000000000000002,1.0,0,0.7646328209905295
83,Male,2.7,73.0,7.6,High School,Yes,No,Yes,55.3,64.1,D,1,average,Moderate,0.09999999999999964,0.0,0,0.2307095171557212
84,Female,2.6,89.4,6.5,Bachelors,Yes,No,No,96.4,90.0,A,0,excellent,Healthy,1.0,1.0,0,0.34726750504580045
85,Male,3.1,97.0,8.1,Bachelors,Yes,Yes,Yes,79.2,99.3,A,0,excellent,Healthy,0.5999999999999996,1.0,0,0.7585778605806551
86,Male,0.5,78.9,9.6,Bachelors,Yes,Yes,Yes,70.0,63.9,D,1,average,Healthy,2.0999999999999996,2.0,0,0.5110619469026548
87,Female,1.2,83.7,5.9,Bachelors,Yes,No,No,83.1,79.0,C,0,average,Healthy,1.5999999999999996,2.0,0,0.243828598043782
88,Male,5.6,85.1,5.1,Masters,Yes,No,No,98.4,100.0,A,0,excellent,Healthy,2.4000000000000004,2.0,0,0.44713553795994404
89,Female,6.0,77.2,7.2,High School,Yes,No,No,52.7,78.9,C,0,average,Healthy,0.2999999999999998,0.0,0,0.406419810588418
90,Female,3.1,91.5,7.7,Bachelors,Yes,No,Yes,67.3,84.5,B,0,excellent,Healthy,0.20000000000000018,0.0,0,0.3846840552709207
91,Female,4.4,83.8,6.5,High School,Yes,No,No,41.5,71.7,C,0,average,Healthy,1.0,1.0,0,0.3849169383636082
92,Female,4.0,89.2,8.5,High School,Yes,Yes,Yes,72.3,86.3,B,0,excellent,Healthy,1.0,1.0,0,0.7405294208973762
93,Female,8.1,76.1,5.2,Bachelors,Yes,Yes,No,74.4,98.3,A,0,excellent,Healthy,2.3,2.0,0,0.8237463126843657
94,Female,5.2,80.6,7.6,Bachelors,Yes,Yes,No,69.5,88.1,B,0,excellent,Healthy,0.09999999999999964,0.0,0,0.72973917093619
95,Female,3.3,92.2,6.1,PhD,Yes,Yes,No,62.1,99.6,A,0,excellent,Healthy,1.4000000000000004,1.0,0,0.731951560316721
96,Female,2.1,81.3,8.9,Bachelors,Yes,No,No,45.4,74.8,C,0,average,Healthy,1.4000000000000004,1.0,0,0.26560316721006055
97,Female,1.1,100.0,9.2,,Yes,No,Yes,74.5,87.4,B,0,excellent,Healthy,1.6999999999999993,2.0,0,0.35964912280701755
98,Female,3.8,81.0,5.9,High School,No,No,No,87.5,88.5,B,0,excellent,Healthy,1.5999999999999996,2.0,0,0.3379521813383015
99,Female,2.4,87.2,6.1,High School,Yes,Yes,Yes,62.9,65.2,D,1,average,Healthy,1.4000000000000004,1.0,1,0.6556047197640118
100,Male,1.4,94.3,7.8,High School,No,No,No,75.3,79.2,C,0,average,Healthy,0.2999999999999998,0.0,0,0.33077161931377114
101,Male,2.5,70.8,6.3,High School,Yes,Yes,No,51.2,74.5,C,0,average,Moderate,1.2000000000000002,1.0,0,0.5390467318739326
102,Female,1.9,67.4,6.7,Bachelors,Yes,Yes,Yes,75.5,66.3,D,1,average,Moderate,0.7999999999999998,1.0,1,0.48765719608756414
103,Female,6.0,69.7,6.8,Bachelors,No,No,No,65.3,89.5,B,0,excellent,Moderate,0.7000000000000002,1.0,0,0.3511100760751436
104,Female,4.8,97.6,4.5,High School,Yes,No,No,60.9,92.7,A,0,excellent,Healthy,3.0,3.0,0,0.5042307095171558
105,Female,3.5,79.5,6.8,,Yes,No,Yes,60.9,87.2,B,0,excellent,Healthy,0.7000000000000002,1.0,1,0.31373233969880454
106,Female,5.7,100.0,6.0,Masters,Yes,Yes,Yes,65.3,92.5,A,0,excellent,Healthy,1.5,2.0,1,0.8947368421052632
107,Female,3.6,79.4,6.2,High School,Yes,Yes,Yes,74.6,75.7,C,0,average,Healthy,1.2999999999999998,1.0,1,0.650714174817575
108,Female,2.2,86.8,8.5,High School,Yes,Yes,No,54.3,74.0,C,0,average,Healthy,1.0,1.0,0,0.6438829374320757
109,Female,5.8,100.0,5.3,High School,Yes,Yes,No,65.2,100.0,A,0,excellent,Healthy,2.2,2.0,0,0.899122807017544
110,Male,4.3,100.0,7.8,High School,No,No,Yes,69.5,75.5,C,0,average,Healthy,0.2999999999999998,0.0,0,0.5
111,Female,1.9,100.0,6.5,High School,Yes,No,Yes,56.8,61.7,D,1,average,Healthy,1.0,1.0,1,0.3947368421052631
112,Male,3.2,97.1,6.5,Bachelors,No,No,No,91.6,91.4,A,0,excellent,Healthy,1.0,1.0,0,0.43036795528644617
113,Female,2.2,95.2,7.7,High School,No,Yes,No,59.8,72.7,C,0,average,Healthy,0.20000000000000018,0.0,0,0.705829840086943
114,Female,1.4,90.9,7.2,Bachelors,Yes,No,No,62.0,74.6,C,0,average,Healthy,0.2999999999999998,0.0,0,0.30569787300108686
115,Male,4.9,92.8,7.5,,Yes,Yes,No,58.3,96.5,A,0,excellent,Healthy,0.0,0.0,0,0.8065517776742741
116,Female,6.4,79.5,8.0,Masters,No,No,Yes,91.6,94.5,A,0,excellent,Healthy,0.5,0.0,0,0.44092532215494495
117,Male,1.4,76.8,6.4,,No,Yes,No,76.6,59.3,F,1,poor,Healthy,1.0999999999999996,1.0,0,0.5350489054494644
118,Female,4.3,85.0,6.1,High School,Yes,Yes,No,58.8,96.2,A,0,excellent,Healthy,1.4000000000000004,1.0,0,0.7227138643067846
119,Female,2.5,83.3,5.5,Bachelors,Yes,Yes,Yes,83.3,75.3,C,0,average,Healthy,2.0,2.0,1,0.6312296227293898
120,Male,2.8,80.5,5.8,Bachelors,Yes,No,No,72.4,73.3,C,0,average,Healthy,1.7000000000000002,2.0,0,0.2904052165812762
121,Female,2.6,92.0,10.0,High School,Yes,Yes,No,73.1,95.8,A,0,excellent,Healthy,2.5,2.0,0,0.6997748796770688
122,Male,2.2,94.6,8.3,High School,Yes,Yes,No,65.9,81.0,B,0,excellent,Healthy,0.8000000000000007,1.0,0,0.7014050613258811
123,Female,3.6,85.9,5.2,Masters,Yes,No,Yes,61.0,76.5,C,0,average,Healthy,2.3,2.0,1,0.3653159447290794
124,Male,2.3,99.8,5.2,Bachelors,Yes,Yes,No,74.1,88.1,B,0,excellent,Healthy,2.3,2.0,0,0.744139108834032
125,Male,3.9,73.6,7.4,Bachelors,Yes,Yes,No,63.5,88.1,B,0,excellent,Moderate,0.09999999999999964,0.0,0,0.6210992081974848
126,Female,3.4,83.1,7.5,Bachelors,Yes,Yes,No,91.8,92.1,A,0,excellent,Healthy,0.0,0.0,0,0.6692283806862288
127,Female,3.1,77.8,7.5,Bachelors,Yes,Yes,No,54.8,85.2,B,0,excellent,Healthy,0.0,0.0,0,0.6169849402266728
128,Male,2.1,66.3,6.5,High School,Yes,No,Yes,88.4,63.0,D,1,average,Moderate,1.0,1.0,1,0.15498369818351188
129,Female,2.6,84.2,6.6,High School,Yes,No,Yes,68.7,81.1,B,0,excellent,Healthy,0.9000000000000004,1.0,1,0.30891942244993015
130,Female,4.6,83.8,7.2,High School,Yes,Yes,No,73.6,87.1,B,0,excellent,Healthy,0.2999999999999998,0.0,0,0.7270222015215029
131,Female,4.3,100.0,6.9,High School,Yes,No,Yes,80.0,100.0,A,0,excellent,Healthy,0.5999999999999996,1.0,1,0.5
132,Male,2.0,91.3,4.1,,Yes,Yes,No,62.4,75.7,C,0,average,Healthy,3.4000000000000004,3.0,0,0.668296848315479
133,Male,3.6,74.8,6.5,Bachelors,No,Yes,No,80.4,77.3,C,0,average,Moderate,1.0,1.0,0,0.6167908709827666
134,Male,4.6,100.0,5.8,Masters,Yes,Yes,No,37.5,85.6,B,0,excellent,Healthy,1.7000000000000002,2.0,0,0.8464912280701755
135,Male,1.0,97.2,7.0,High School,Yes,Yes,No,61.4,80.8,B,0,excellent,Healthy,0.5,0.0,0,0.6679475236764478
136,Male,4.3,90.8,10.0,Bachelors,Yes,Yes,No,58.9,94.5,A,0,excellent,Healthy,2.5,2.0,0,0.7654867256637168
137,Male,2.5,82.7,7.2,High School,No,No,Yes,55.0,59.7,F,1,poor,Healthy,0.2999999999999998,0.0,0,0.2934715106349946
138,Male,4.4,75.4,6.4,High School,Yes,No,No,67.4,80.9,B,0,excellent,Healthy,1.0999999999999996,1.0,0,0.32297003570874094
139,Male,2.4,81.3,7.9,High School,Yes,Yes,No,74.6,82.6,B,0,excellent,Healthy,0.40000000000000036,0.0,0,0.612094395280236
140,Male,0.8,95.9,7.4,Masters,Yes,No,No,78.4,80.2,B,0,excellent,Healthy,0.09999999999999964,0.0,0,0.31625523986958554
141,Female,1.1,100.0,7.3,Masters,Yes,No,Yes,72.9,82.4,B,0,excellent,Healthy,0.20000000000000018,0.0,0,0.35964912280701755
142,Male,3.6,100.0,7.5,Bachelors,Yes,No,No,62.0,75.9,C,0,average,Healthy,0.0,0.0,0,0.4692982456140351
143,Female,3.9,80.1,9.3,Bachelors,Yes,No,Yes,74.4,88.5,B,0,excellent,Healthy,1.8000000000000007,2.0,0,0.33570097810898925
144,Female,2.1,73.8,5.4,,Yes,Yes,Yes,71.5,69.6,D,1,average,Moderate,2.0999999999999996,2.0,1,0.5436267660301195
145,Female,4.5,86.4,7.4,High School,Yes,No,Yes,81.2,86.8,B,0,excellent,Healthy,0.09999999999999964,0.0,0,0.40847694457382405
146,Male,1.0,67.3,5.7,High School,Yes,No,No,79.3,65.2,D,1,average,Moderate,1.7999999999999998,2.0,0,0.11411271541686073
147,Male,3.4,88.2,7.5,High School,Yes,No,Yes,70.4,82.0,B,0,excellent,Healthy,0.0,0.0,0,0.3735056668219221
148,Male,1.7,83.5,5.7,Masters,Yes,Yes,Yes,59.2,46.8,F,1,poor,Healthy,1.7999999999999998,2.0,1,0.5976168296848315
149,Male,2.5,80.3,6.3,,Yes,Yes,Yes,62.2,68.6,D,1,average,Healthy,1.2000000000000002,1.0,1,0.6091057289240801
150,Female,3.6,69.1,6.4,High School,Yes,Yes,Yes,63.4,69.2,D,1,average,Moderate,1.0999999999999996,1.0,1,0.5747554727526781
151,Male,2.2,90.1,8.0,PhD,Yes,Yes,No,66.2,84.7,B,0,excellent,Healthy,0.5,0.0,0,0.6682192206179165
152,Male,2.9,79.7,7.9,Masters,Yes,Yes,Yes,73.2,75.9,C,0,average,Healthy,0.40000000000000036,0.0,0,0.622224809812141
153,Male,5.0,73.3,5.3,High School,Yes,No,Yes,78.6,84.7,B,0,excellent,Moderate,2.2,2.0,1,0.3337990995187083
154,Male,2.6,56.3,6.9,Bachelors,No,Yes,No,69.4,75.7,C,0,average,Critical,0.5999999999999996,1.0,0,0.43650054339388294
155,Male,4.8,84.7,5.9,Bachelors,Yes,No,No,70.2,95.4,A,0,excellent,Healthy,1.5999999999999996,2.0,0,0.40909796615432387
156,Female,1.8,100.0,5.3,,Yes,Yes,No,71.7,87.6,B,0,excellent,Healthy,2.2,2.0,0,0.7236842105263158
157,Male,4.3,100.0,6.5,High School,Yes,No,No,63.8,87.7,B,0,excellent,Healthy,1.0,1.0,0,0.5
158,Female,5.7,80.4,6.4,Masters,Yes,Yes,Yes,58.9,89.3,B,0,excellent,Healthy,1.0999999999999996,1.0,1,0.7501940692439062
159,Male,0.5,79.0,9.7,High School,Yes,Yes,No,48.9,63.7,D,1,average,Healthy,2.1999999999999993,2.0,0,0.5117994100294986
160,Female,2.3,89.7,7.3,Masters,Yes,No,Yes,61.7,74.0,C,0,average,Healthy,0.20000000000000018,0.0,0,0.3363219996894892
161,Male,4.4,75.0,5.1,Bachelors,Yes,No,No,75.7,87.9,B,0,excellent,Healthy,2.4000000000000004,2.0,0,0.32002018320136627
162,Male,3.2,88.0,6.1,Bachelors,Yes,No,No,61.6,76.6,C,0,average,Healthy,1.4000000000000004,1.0,0,0.3632588107436734
163,Female,4.1,92.7,8.0,Masters,Yes,Yes,Yes,67.1,97.3,A,0,excellent,Healthy,0.5,0.0,0,0.7707265952491849
164,Female,2.6,97.3,9.3,Masters,Yes,Yes,No,75.6,90.2,A,0,excellent,Healthy,1.8000000000000007,2.0,0,0.7388604253997827
165,Female,3.6,84.0,4.9,PhD,Yes,No,No,76.2,88.7,B,0,excellent,Healthy,2.5999999999999996,3.0,0,0.3513041453190498
166,Male,3.3,83.0,4.5,High School,Yes,Yes,No,57.0,84.8,B,0,excellent,Healthy,3.0,3.0,0,0.6641049526471045
167,Female,5.3,76.2,9.0,Masters,Yes,No,No,82.0,100.0,A,0,excellent,Healthy,1.5,2.0,0,0.36834342493401645
168,Male,3.9,76.7,7.3,High School,Yes,Yes,No,83.5,82.1,B,0,excellent,Healthy,0.20000000000000018,0.0,0,0.6439605651296383
169,Male,4.0,82.7,5.8,Bachelors,No,Yes,Yes,56.4,75.1,C,0,average,Healthy,1.7000000000000002,2.0,1,0.6925943176525385
170,Female,2.9,88.7,7.4,Bachelors,No,Yes,Yes,60.1,78.1,C,0,average,Healthy,0.09999999999999964,0.0,0,0.6885964912280702
171,Female,2.8,94.1,3.6,Bachelors,Yes,Yes,No,84.3,92.9,A,0,excellent,Healthy,3.9,4.0,0,0.724033535165347
172,Male,2.9,77.0,6.8,Bachelors,Yes,No,No,68.2,71.8,C,0,average,Healthy,0.7000000000000002,1.0,0,0.2689799720540289
173,Male,4.1,99.9,7.2,,Yes,No,No,43.4,78.5,C,0,average,Healthy,0.2999999999999998,0.0,0,0.490490607048595
174,Female,2.9,82.3,7.9,High School,Yes,Yes,No,53.2,82.6,B,0,excellent,Healthy,0.40000000000000036,0.0,0,0.641398851110076
175,Female,3.9,84.8,5.6,Masters,Yes,No,No,67.0,79.2,C,0,average,Healthy,1.9000000000000004,2.0,0,0.3703617450706412
176,Female,6.6,77.5,6.9,Bachelors,Yes,Yes,No,56.0,89.7,B,0,excellent,Healthy,0.5999999999999996,1.0,0,0.7682813227759665
177,Male,4.8,60.8,5.7,High School,Yes,Yes,No,65.0,89.2,B,0,excellent,Moderate,1.7999999999999998,2.0,0,0.566177612172023
178,Male,3.0,93.8,7.1,High School,No,Yes,No,70.4,81.7,B,0,excellent,Healthy,0.40000000000000036,0.0,0,0.7305930756093774
179,Male,5.3,92.4,5.7,,Yes,No,No,87.5,96.7,A,0,excellent,Healthy,1.7999999999999998,2.0,0,0.4878124514826891
180,Male,2.9,82.2,6.3,PhD,Yes,No,No,66.5,73.7,C,0,average,Healthy,1.2000000000000002,1.0,0,0.3073280546498991
181,Male,0.5,85.7,5.6,,Yes,No,No,82.9,77.1,C,0,average,Healthy,1.9000000000000004,2.0,0,0.22787610619469031
182,Male,2.0,90.2,7.6,,Yes,No,Yes,87.1,76.5,C,0,average,Healthy,0.09999999999999964,0.0,0,0.3268514205868654
183,Female,0.7,69.4,7.8,High School,Yes,No,No,87.2,73.2,C,0,average,Moderate,0.2999999999999998,0.0,0,0.11644154634373549
184,Male,3.0,79.7,6.5,Bachelors,Yes,No,No,73.4,83.6,B,0,excellent,Healthy,1.0,1.0,0,0.2932774413910884
185,Male,3.5,92.9,6.8,Masters,Yes,No,No,46.4,85.8,B,0,excellent,Healthy,0.7000000000000002,1.0,0,0.41255239869585475
186,Male,6.0,72.5,5.1,Bachelors,Yes,No,No,75.5,95.7,A,0,excellent,Moderate,2.4000000000000004,2.0,0,0.3717590436267661
187,Female,4.0,87.9,6.4,Bachelors,Yes,Yes,No,82.6,89.2,B,0,excellent,Healthy,1.0999999999999996,1.0,0,0.7309424002484087
188,Male,3.2,71.4,6.7,Bachelors,Yes,Yes,Yes,69.0,83.1,B,0,excellent,Moderate,0.7999999999999998,1.0,1,0.5741732650209596
